step,eval-loss
100,6.861242
200,1.751503
300,1.0335021
400,0.68521833
500,0.60759735
600,0.6147765
700,0.59616435
800,0.49724206
900,0.49903184
1000,0.5010431
1100,0.49516067
1200,0.49705315
1300,0.49539152
1400,0.49610472
1500,0.49528217
1600,0.491867
1700,0.49496397
1800,0.49412227
1900,0.49475998
2000,0.4923807
2100,0.4915219
2200,0.49163836
2300,0.49400178
2400,0.49164376
2500,0.4932805
2600,0.50013226
2700,0.49737412
2800,0.5991401
2900,0.50471234
3000,0.4965039
3100,0.4994832
3200,0.49858028
