step,eval-loss
100,0.3223402
200,0.20824142
300,0.1620941
400,0.15581086
500,0.14911167
600,0.14391938
700,0.13915119
800,0.14224863
900,0.14253917
1000,0.13803737
1100,0.13654914
1200,0.13570487
1300,0.14075187
1400,0.14093134
1500,0.13573876
1600,0.13557747
1700,0.14012542
1800,0.13888769
1900,0.13850006
2000,0.1409305
2100,0.14015935
2200,0.1393383
2300,0.1376982
2400,0.13590991
2500,0.13870764
2600,0.13613406
2700,0.13354571
2800,0.13559775
2900,0.14079055
3000,0.13737181
3100,0.13873592
3200,0.13425425
3300,0.13526994
3400,0.14224161
3500,0.13974023
3600,0.13762763
3700,0.1436335
3800,0.13295335
3900,0.14031534
4000,0.1383471
4100,0.13940032
4200,0.14191239
4300,0.14279255
4400,0.13614324
4500,0.14171243
4600,0.13512576
4700,0.13630275
4800,0.13726403
4900,0.13844484
