step,eval-loss
100,0.40679964
200,0.3720847
300,0.35455623
400,0.35178784
500,0.35018876
600,0.34702793
700,0.34688017
800,0.3485202
900,0.3440137
1000,0.34489703
1100,0.34582886
1200,0.34499103
1300,0.3447392
1400,0.34635374
1500,0.3475302
1600,0.34624434
1700,0.34437642
1800,0.3432396
1900,0.34418914
2000,0.3433363
2100,0.34269312
2200,0.3443441
2300,0.34307218
2400,0.34186947
2500,0.34062713
2600,0.3431084
2700,0.34263867
2800,0.34177113
2900,0.3430414
3000,0.34415805
3100,0.3437746
3200,0.34287852
3300,0.34304765
3400,0.34211862
3500,0.34273267
3600,0.34316805
