step,eval-loss
100,0.6094794
200,0.47756156
300,0.42229447
400,0.35733238
500,0.33051437
600,0.3169712
700,0.28616628
800,0.29778665
900,0.26193896
1000,0.2790428
1100,0.2578133
1200,0.23806736
1300,0.23905797
1400,0.21670792
1500,0.24164906
1600,0.23126276
1700,0.22554183
1800,0.20264974
1900,0.22152433
2000,0.23098418
2100,0.2114658
2200,0.20481983
2300,0.21305577
2400,0.19750844
2500,0.2129924
2600,0.21386437
2700,0.20400949
2800,0.17519338
2900,0.19364421
3000,0.18767698
3100,0.21119042
3200,0.20053229
3300,0.19268763
3400,0.18633118
3500,0.20045683
3600,0.19199815
3700,0.19570893
3800,0.20745182
3900,0.21017079
