step,eval-loss
100,0.46901003
200,0.3843544
300,0.33385193
400,0.2535345
500,0.22954038
600,0.1884953
700,0.17285582
800,0.171927
900,0.16910145
1000,0.15350075
1100,0.16236815
1200,0.133934
1300,0.13645898
1400,0.138539
1500,0.1481192
1600,0.13234201
1700,0.13452253
1800,0.14405581
1900,0.13691446
2000,0.13229354
2100,0.14117447
2200,0.13280985
2300,0.13168626
2400,0.15094997
2500,0.12727274
2600,0.13331702
2700,0.11481959
2800,0.12551674
2900,0.10230664
3000,0.11784661
3100,0.11497557
3200,0.1240749
3300,0.119872235
3400,0.12069805
3500,0.12287619
3600,0.12605473
3700,0.11121334
3800,0.12385368
3900,0.1216322
4000,0.10937546
