step,eval-loss
100,0.4806341
200,0.41677555
300,0.3030279
400,0.27393153
500,0.26382902
600,0.2672043
700,0.2622658
800,0.26644015
900,0.264157
1000,0.26672786
1100,0.26690593
1200,0.25734556
1300,0.26251566
1400,0.26516715
1500,0.2591186
1600,0.26527855
1700,0.26849028
1800,0.26157543
1900,0.27074316
2000,0.25691783
2100,0.2630831
2200,0.26459497
2300,0.26444426
2400,0.26261222
2500,0.2628335
2600,0.26874012
2700,0.26937264
2800,0.2650623
2900,0.26168025
3000,0.27005517
3100,0.2640284
