step,eval-loss
100,0.49374542
200,0.47411674
300,0.4291834
400,0.42302942
500,0.4223577
600,0.4212556
700,0.42029098
800,0.42048776
900,0.4175408
1000,0.41918808
1100,0.42001626
1200,0.4206147
1300,0.42116523
1400,0.41986808
1500,0.4198603
1600,0.4204428
1700,0.4194814
1800,0.4188896
1900,0.41780362
2000,0.41714773
2100,0.41963786
2200,0.4201725
2300,0.41968134
2400,0.41973343
2500,0.41923666
2600,0.42052057
2700,0.42013693
2800,0.4211568
2900,0.4216447
3000,0.42063126
3100,0.42144972
