step,eval-loss
100,0.30978078
200,0.080709405
300,0.02719838
400,0.020161891
500,0.0133752
600,0.011171927
700,0.00907456
800,0.008929878
900,0.008929672
1000,0.008929751
1100,0.008929566
1200,0.008929423
1300,0.0089293355
1400,0.008929246
1500,0.0089291865
1600,0.008929119
1700,0.0089290785
1800,0.008929027
1900,0.008928987
2000,0.00892895
2100,0.00892891
2200,0.008928887
2300,0.008928858
2400,0.008928832
2500,0.0089288065
2600,0.008928773
2700,0.008928745
2800,0.008928698
2900,0.008928274
3000,0.3072968
3100,0.20035173
3200,0.18743856
3300,0.17474285
3400,0.17409253
3500,0.174107
3600,0.17410715
3700,0.17410706
3800,0.17410691
3900,0.17410722
4000,0.17410815
