step,eval-loss
100,59.00701
200,59.15075
300,59.29441
400,59.005516
500,59.074593
600,59.13272
700,58.67874
800,58.74879
900,58.773346
1000,58.704914
1100,58.76405
1200,58.693066
1300,58.530865
1400,58.18675
1500,58.583794
1600,58.32363
1700,58.15882
1800,58.28717
1900,58.37541
2000,58.002728
2100,57.828747
2200,57.979897
2300,57.952526
2400,57.362904
2500,57.894676
2600,57.703876
2700,58.113014
2800,57.639393
2900,57.97061
3000,57.701576
3100,57.62156
3200,57.8549
3300,57.347115
3400,57.88645
3500,57.645653
3600,57.686684
3700,57.503822
3800,57.57234
3900,57.686413
4000,57.311584
4100,57.213097
4200,56.942177
4300,57.163483
4400,57.136852
4500,57.214123
4600,57.112694
4700,57.024677
4800,57.284035
4900,57.18136
5000,56.85597
5100,57.296257
5200,57.088745
5300,56.972248
5400,56.017426
5500,56.28418
5600,57.108223
5700,56.725136
5800,56.99891
5900,56.9904
6000,56.282555
6100,56.743706
6200,56.452972
6300,56.345654
6400,56.442444
6500,56.27408
